,datetime,date,open,high,low,close,pct,candle,sma,std,std_raito,action,num_of_share,open_price,close_price,realized_pnl,unrealized_pnl,net_profit,equity_value,mdd_dollar,mdd_pct,commission,logic
1201,2024-07-19 04:00:00,2024-07-19 04:00:00,64313.0674262945,64434.99666250299,63664.35344502341,63664.35344502341,-0.010282246062720324,-0.010086814503359687,64220.21264066336,507.5792651747534,1.0951180116638108,,0.19780161626513632,,,,-20.8011228130416,2591.53,12591.525721763534,0,0,0.0,
1202,2024-07-19 08:00:00,2024-07-19 08:00:00,63700.83096748964,64113.69057290416,63442.817598421134,63987.46399301069,0.005075219184724755,0.004499674826335287,64145.527149096466,477.5886009227807,0.3309609060609245,,0.19780161626513632,,,,43.10715066278309,2655.43,12655.433995239358,0,0,0.0,
1203,2024-07-19 12:00:00,2024-07-19 12:00:00,64093.04852817016,65785.51449275624,64093.04852817016,65785.51449275624,0.02810004315754644,0.02640638889008695,64311.98657208815,704.3265845290008,-2.09210890662812,,0.19780161626513632,,,,398.7448844875638,3011.07,13011.071729064139,0,0,0.0,trade_logic
1204,2024-07-19 16:00:00,2024-07-19 16:00:00,65822.47184915729,67352.07903208295,65822.47184915729,67352.07903208295,0.02381321407008552,0.02323837346052593,64564.24646611044,1192.695151516525,-2.337422569738593,,0.19780161626513632,,,,708.596839555155,3320.92,13320.92368413173,0,0,0.0,trade_logic
1205,2024-07-19 20:00:00,2024-07-19 20:00:00,67214.7663769103,67377.6932883931,66691.08830268001,66707.06780882782,-0.009576708433126191,-0.007553378453114434,64764.2975012925,1373.314006415817,-1.4146584819343067,,0.19780161626513632,,,,581.0195942205728,3193.35,13193.346438797147,0,0,0.0,
1206,2024-07-20 00:00:00,2024-07-20 00:00:00,66707.67485834208,66854.44796698652,66304.02935949204,66696.78535102282,-0.00015414345350139858,-0.00016324219578023325,64965.23515117636,1501.8048503031446,-1.1529794963020221,close_logic,0.0,,66696.78535102282,578.9858193113372,0.0,3191.31,13191.312663887913,0,0,1.4192782332683764,close_logic
1207,2024-07-20 04:00:00,2024-07-20 04:00:00,66654.88526705647,66749.3565481608,66489.00773396307,66668.53997057953,-0.0004234893825036945,0.00020485675533543635,65285.30510717764,1488.2267153598482,-0.9294517086178122,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1208,2024-07-20 08:00:00,2024-07-20 08:00:00,66609.6358023026,66732.94917735357,66525.1957680968,66534.3158762932,-0.0020133048413173427,-0.0011307662187637346,65568.1316824875,1422.026788570714,-0.6794416262557336,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1209,2024-07-20 12:00:00,2024-07-20 12:00:00,66525.79171421054,66751.6284330408,66394.1794628079,66727.96432230524,0.002910504804349179,0.003039010929222874,65844.98510994134,1341.237168795197,-0.6583318990160895,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1210,2024-07-20 16:00:00,2024-07-20 16:00:00,66841.09838536647,67567.72292008676,66791.95288247717,67209.35157834638,0.007214175659787436,0.005509382728224876,66133.34358702482,1287.2114469845046,-0.8359217080008708,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1211,2024-07-20 20:00:00,2024-07-20 20:00:00,67262.03116278345,67453.06488254102,66994.06059489993,67204.95148327693,-6.546849457866877e-05,-0.000848616649241074,66487.40339085017,983.8172537165651,-0.7293509945226929,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1212,2024-07-21 00:00:00,2024-07-21 00:00:00,67166.47681239896,67403.68637019172,67018.18034432484,67221.80365898993,0.00025075794775597515,0.000823727091499693,66810.8373574481,466.0256254131587,-0.8818534413799418,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1213,2024-07-21 04:00:00,2024-07-21 04:00:00,67207.04948692146,67215.92402955734,66699.40059402412,66764.58196459987,-0.006801687391631117,-0.006583647484892041,66908.74410463247,299.9285516661861,0.4806549400906852,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1214,2024-07-21 08:00:00,2024-07-21 08:00:00,66720.54242178892,67042.51618409826,66720.54242178892,66870.29055679591,0.0015833034385219769,0.0022444082372761187,66860.56525710376,256.32770450967445,-0.03794088395848035,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1215,2024-07-21 12:00:00,2024-07-21 12:00:00,66898.44873205623,67454.03116804115,66670.95046416609,67159.12484701253,0.0043193215972539,0.0038965943141726633,66905.77096092224,265.93145198944967,-0.952703729457105,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1216,2024-07-21 16:00:00,2024-07-21 16:00:00,67197.30924197078,67588.90542405559,66176.48480058271,67361.23498465464,0.003009421848520377,0.002439468849765758,66972.21592428541,289.84651007449645,-1.3421554058706655,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1217,2024-07-21 20:00:00,2024-07-21 20:00:00,67439.73939366205,68282.25179697377,67327.13662024649,68077.26588801136,0.010629717574504705,0.009453276363182717,67113.0885160286,432.89265554828467,-2.2272897440627,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1218,2024-07-22 00:00:00,2024-07-22 00:00:00,68167.93621949869,68418.55824344819,67817.5686209722,67880.34299457393,-0.0028926381056690875,-0.004218892941084684,67247.69122785667,442.10195242928535,-1.4310087599498955,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1219,2024-07-22 04:00:00,2024-07-22 04:00:00,67890.714721492,67964.0840403919,67239.62047330236,67290.80706247604,-0.008684928597738728,-0.008836372712777485,67303.97550187375,402.65106908267546,0.03270434480083534,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1220,2024-07-22 08:00:00,2024-07-22 08:00:00,67265.96028626,67517.80469305888,67089.73695223604,67512.11635530474,0.0032888488411682015,0.0036594448068114627,67334.25197956958,406.1134526551629,-0.43796720983330784,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1221,2024-07-22 12:00:00,2024-07-22 12:00:00,67530.6504221763,67863.06414172462,66614.97420684893,67152.92198244338,-0.005320443088629889,-0.005593437015214642,67329.04902948622,408.28155732533736,0.43138624285812777,,0.0,,,,0.0,3191.31,13191.312663887913,0,0,0.0,
1222,2024-07-22 16:00:00,2024-07-22 16:00:00,67075.72969247942,68148.11146537669,66896.00401025609,68140.92256408164,0.014712696819009219,0.015880451490960956,67420.96091999541,478.81840456854906,-1.5036214924423572,open,0.193588700703053,68140.92256408164,,,0.0,3191.31,13191.312663887913,0,0,0.0,trade_logic
1223,2024-07-22 20:00:00,2024-07-22 20:00:00,68248.01628583255,68248.01628583255,67323.54413229572,67614.90743512612,-0.0077195187438332535,-0.009276589784747324,67505.99346704803,421.35761507629053,-0.25848344537068296,,0.193588700703053,,,,-103.2760290754809,3088.04,13088.036634812432,0,0,0.0,
1224,2024-07-23 00:00:00,2024-07-23 00:00:00,67584.80435452731,67763.87137041858,67260.81967550608,67537.57279710422,-0.0011437512962079177,-0.0006988487704325808,67572.72169107886,357.49633458973835,0.0983195926049728,,0.193588700703053,,,,-118.24631775831645,3073.07,13073.066346129597,0,0,0.0,
1225,2024-07-23 04:00:00,2024-07-23 04:00:00,67496.2549766817,67511.47190853798,66334.26149136203,66544.83389310824,-0.014699061024570081,-0.014095909230847692,67511.29259568843,471.16738019001934,2.0512003657605087,stop_loss,0.0,,66544.83389310824,-310.4187822533705,0.0,2880.89,12880.893881634542,0,0,1.4340502327665372,
1226,2024-07-23 08:00:00,2024-07-23 08:00:00,66579.37598128086,67142.14155754959,66530.9396700788,66714.66016011273,0.0025520578693949414,0.002031923202012509,67446.63511323424,534.196005622254,1.370236664852764,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1227,2024-07-23 12:00:00,2024-07-23 12:00:00,66694.83003656271,67343.14702127152,66078.5926258385,66547.98286595765,-0.002498360836359903,-0.0022017774169985627,67293.70681102887,552.1974670038984,1.3504660735177867,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1228,2024-07-23 16:00:00,2024-07-23 16:00:00,66612.25989545688,66729.65184680783,65541.40747536224,65541.40747536224,-0.015125558240027592,-0.016075905873412344,67059.8132591077,739.6431118916986,2.0528897779660404,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1229,2024-07-23 20:00:00,2024-07-23 20:00:00,65567.57566952806,65999.20917966486,65567.57566952806,65929.59089767156,0.005922720265890469,0.0055212538277780165,66923.69164262725,813.9342657789736,1.2213526162389678,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1230,2024-07-24 00:00:00,2024-07-24 00:00:00,65944.32640124924,66096.01556504804,65498.081937756426,66049.43256098995,0.0018177219316346527,0.0015938620572324425,66777.42326319577,827.7507550385949,0.8794805655862848,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1231,2024-07-24 04:00:00,2024-07-24 04:00:00,66049.25069715292,66049.25069715292,65644.30166921718,65986.59742328366,-0.0009513350118227626,-0.0009485841732942424,66660.7908072798,850.8111642811214,0.7924124791730848,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1232,2024-07-24 08:00:00,2024-07-24 08:00:00,66062.0753042692,66548.25879503705,66016.38793246387,66409.34285967251,0.006406534855511126,0.005256685531053407,66487.63283683888,673.9202030720929,0.11617098999180772,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1233,2024-07-24 12:00:00,2024-07-24 12:00:00,66378.5102609227,67044.72869972026,66175.08613859011,66288.84579280115,-0.001814459557685777,-0.0013508056714304217,66355.02667260639,545.7350071221272,0.12126925878226973,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1234,2024-07-24 16:00:00,2024-07-24 16:00:00,66223.1803816465,66697.94027526566,65602.9869767975,65602.9869767975,-0.010346519203961235,-0.009365201146710245,66161.56809057572,404.6021941887377,1.3805686716509733,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1235,2024-07-24 20:00:00,2024-07-24 20:00:00,65655.8790050826,66046.97983080165,65252.37137485261,65399.01927272711,-0.003109122213330484,-0.003912212222999978,66046.9866285376,444.3003650765317,1.4583993323950513,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1236,2024-07-25 00:00:00,2024-07-25 00:00:00,65370.26470304787,65588.67712041135,63968.62777333253,64034.59678257908,-0.02086304206578571,-0.02043234682521511,65778.98029078424,719.7434964589672,2.4236182984455863,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1237,2024-07-25 04:00:00,2024-07-25 04:00:00,64101.27608595074,64349.76770090061,63914.81061699657,64135.14062337786,0.0015701487297588024,0.0005282973989739759,65537.69606652626,829.3866159874366,1.6910755685134466,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1238,2024-07-25 08:00:00,2024-07-25 08:00:00,64119.34811012259,64415.58631042676,63926.980680108034,64149.36249005576,0.00022174842901523384,0.0004681017636303242,65398.49156799561,938.356533158998,1.3311881292440382,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1239,2024-07-25 12:00:00,2024-07-25 12:00:00,64108.47628608136,64985.8277356184,63523.859877759096,64645.81850837232,0.00773906394461088,0.00838176561696935,65270.1143290657,945.4134857796901,0.6603415649169787,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1240,2024-07-25 16:00:00,2024-07-25 16:00:00,64651.24354142421,65129.106509369536,64525.86863550206,64673.70000458875,0.00043129620538118196,0.00034734773740496827,65132.54107342557,919.14024229192,0.4992068105871221,,0.0,,,,-0.0,2880.89,12880.893881634542,0,0,0.0,
1241,2024-07-25 20:00:00,2024-07-25 20:00:00,64781.13804895229,66076.90024535373,64509.169576206725,65726.34477302867,0.0162762416309139,0.014590770593781999,65106.51580840007,895.6553470154877,-0.6920395961392962,open,0.19597763919651773,65726.34477302867,,,-0.0,2880.89,12880.893881634542,0,0,0.0,trade_logic
1242,2024-07-26 00:00:00,2024-07-26 00:00:00,65771.81041660522,67360.748516095,65771.81041660522,67082.02032165376,0.020626060270149127,0.019920538856229353,65173.7835545982,1020.8817956012228,-1.8692044223707143,,0.19597763919651773,,,,264.2505826938651,3145.14,13145.144464328407,0,0,0.0,trade_logic
1243,2024-07-26 04:00:00,2024-07-26 04:00:00,66996.66182830652,67164.3493940527,66890.951897935,67003.2643109168,-0.0011740256235476254,9.854942664455635e-05,65245.22540640975,1127.060750905313,-1.5598439596933005,,0.19597763919651773,,,,248.8170145300373,3129.71,13129.710896164579,0,0,0.0,
1244,2024-07-26 08:00:00,2024-07-26 08:00:00,66902.19594615992,67455.85354625629,66902.19594615992,67324.0794184113,0.00478805190752829,0.006305973462977121,65417.334650571145,1305.110389915661,-1.4609835172359453,,0.19597763919651773,,,,311.6861439230814,3192.58,13192.580025557623,0,0,0.0,
1245,2024-07-26 12:00:00,2024-07-26 12:00:00,67333.38428313799,67967.23300293316,66933.22128593932,67518.6381366173,0.002889883083240452,0.0027512927718043034,65629.29653696016,1464.2283004815993,-1.2903326612630823,,0.19597763919651773,,,,349.81320509848786,3230.71,13230.70708673303,0,0,0.0,
1246,2024-07-26 16:00:00,2024-07-26 16:00:00,67551.75182836218,68044.97379305128,67348.86380303721,67869.93097728062,0.0052029017521428855,0.00471015392357077,66012.82995643032,1501.9275464624525,-1.2364784341457753,,0.19597763919651773,,,,418.65496017353587,3299.55,13299.548841808077,0,0,0.0,
1247,2024-07-26 20:00:00,2024-07-26 20:00:00,67976.98915644802,68197.13669508317,67443.32989635417,67896.87874151561,0.0003970501199421772,-0.0011784931331400017,66389.00376824409,1449.5567299305608,-1.0402317771611154,,0.19597763919651773,,,,423.93582892617775,3304.83,13304.82971056072,0,0,0.0,
1248,2024-07-27 00:00:00,2024-07-27 00:00:00,67911.8142625278,68014.5891156016,67675.66091286264,67817.85303885814,-0.0011639077395342312,-0.001383576991573654,66755.85282312434,1273.2620971385893,-0.8340782452571569,,0.19597763919651773,,,,408.44941008340635,3289.34,13289.343291717949,0,0,0.0,
1249,2024-07-27 04:00:00,2024-07-27 04:00:00,67814.76488009389,68278.13219810526,67808.52756661564,68139.56389098197,0.004743748699026051,0.00478950286803137,67105.22736138529,1097.0948071114854,-0.9427959396872541,,0.19597763919651773,,,,471.49407573920206,3352.39,13352.387957373743,0,0,0.0,
1250,2024-07-27 08:00:00,2024-07-27 08:00:00,68058.58418103892,68249.92768172789,67924.0062145159,68184.02817214196,0.0006525471931568827,0.0018431766192688048,67456.26017814063,734.2266271517207,-0.991203488253426,,0.19597763919651773,,,,480.20760131924067,3361.1,13361.101482953782,0,0,0.0,
1251,2024-07-27 12:00:00,2024-07-27 12:00:00,68228.71759426041,69371.4797894984,68228.71759426041,68779.21748754376,0.008729160352614285,0.008068448487586144,67761.54744959212,545.4258491943776,-1.8658265636929239,,0.19597763919651773,,,,596.8449828178477,3477.74,13477.738864452389,0,0,0.0,
1252,2024-07-27 16:00:00,2024-07-27 16:00:00,68845.4017058794,68987.97373974133,67997.57383463815,67997.57383463815,-0.011364532506453195,-0.012314952781644406,67853.10280089056,493.01022369891086,-0.29303861624547106,,0.19597763919651773,,,,443.66873018574273,3324.56,13324.562611820284,0,0,0.0,
1253,2024-07-27 20:00:00,2024-07-27 20:00:00,68168.16573402629,69009.33562035083,66909.1906475668,68069.82457818405,0.001062548845075062,-0.0014426258178331652,67959.75882761729,394.1967240669702,-0.2792152847725421,,0.19597763919651773,,,,457.8274815619025,3338.72,13338.721363196444,0,0,0.0,
1254,2024-07-28 00:00:00,2024-07-28 00:00:00,67808.65558848101,68242.43087603952,67359.09751618322,68007.06291233751,-0.0009220189156570191,0.002925988166770477,68028.0571770099,324.8969469490863,0.0646182270087132,,0.19597763919651773,,,,445.5282749508274,3326.42,13326.42215658537,0,0,0.0,
1255,2024-07-28 04:00:00,2024-07-28 04:00:00,67975.2850708404,68002.77225935194,67109.70562769502,67474.37904464598,-0.007832772728005866,-0.007368943369231995,68023.63126781277,332.81260393681026,1.6503348030385334,,0.19597763919651773,,,,341.13988979954553,3222.03,13222.033771434088,0,0,0.0,
1256,2024-07-28 08:00:00,2024-07-28 08:00:00,67544.7797965148,67885.83229467495,67311.64840575973,67881.02346975774,0.0060266493870613225,0.004978085268112498,68024.74051706049,332.261437303402,0.43254206226621705,,0.19597763919651773,,,,420.8287210985809,3301.72,13301.722602733123,0,0,0.0,
1257,2024-07-28 12:00:00,2024-07-28 12:00:00,67865.45684774885,68077.05238801519,67638.68534681485,67638.68534681485,-0.003570042267421858,-0.0033414863977523357,67998.92117759041,352.7042422312725,1.0213538359976768,,0.19597763919651773,,,,373.3384799838446,3254.23,13254.232361618386,0,0,0.0,
1258,2024-07-28 16:00:00,2024-07-28 16:00:00,67651.2982001037,68284.84200474003,67637.09453966236,68158.61096185732,0.007686808405228174,0.00749893609215091,68032.99696989033,349.7151384449427,-0.35918946067234936,,0.19597763919651773,,,,475.22667041896403,3356.12,13356.120552053506,0,0,0.0,
1259,2024-07-28 20:00:00,2024-07-28 20:00:00,68135.7228276083,68223.48417344027,67883.08537998029,68222.7149148794,0.0009405114352747379,0.001276747110927401,68041.31207228007,353.49855935908187,-0.5131643051904579,,0.19597763919651773,,,,487.78892083361876,3368.68,13368.68280246816,0,0,0.0,
1260,2024-07-29 00:00:00,2024-07-29 00:00:00,68255.86576902054,69643.72996112444,68218.2058041962,69346.68277080897,0.01647497988510027,0.01598129317529695,68157.57753214678,544.9871850744863,-2.1818957788882085,close_logic,0.0,,69346.68277080897,708.0493727802864,0.0,3588.94,13588.943254414828,0,0,1.455921118144213,close_logic
1261,2024-07-29 04:00:00,2024-07-29 04:00:00,69344.88659419771,69822.39566116367,69281.28022253477,69493.75023612253,0.0021207570346173377,0.002146714043905762,68229.03080700464,668.4114536956412,-1.892127105430744,,0.0,,,,0.0,3588.94,13588.943254414828,0,0,0.0,
1262,2024-07-29 08:00:00,2024-07-29 08:00:00,69508.28838501828,69805.34605372616,69412.45618718995,69614.84507284904,0.0017425284477390335,0.0015330069306342953,68390.75793082574,790.6619636208115,-1.54818013050436,,0.0,,,,0.0,3588.94,13588.943254414828,0,0,0.0,
1263,2024-07-29 12:00:00,2024-07-29 12:00:00,69617.998390636,69865.11348446037,67703.52494757777,68108.0499112414,-0.021644739136183477,-0.021689053323855734,68394.58046413148,789.0286965870831,0.3631433864566107,,0.0,,,,0.0,3588.94,13588.943254414828,0,0,0.0,
1264,2024-07-29 16:00:00,2024-07-29 16:00:00,68098.10607554753,68098.10607554753,66704.12172543407,67327.37373231296,-0.0114623187706272,-0.011317970317405446,68326.61154612902,852.8161957555777,1.1716918824820772,,0.0,,,,0.0,3588.94,13588.943254414828,0,0,0.0,
1265,2024-07-29 20:00:00,2024-07-29 20:00:00,67271.28176405611,67551.26641344756,66685.83069918636,66805.98547582807,-0.007744075367589365,-0.006916715068102874,68259.77218924722,947.9209757556616,1.5336581324832703,,0.0,,,,0.0,3588.94,13588.943254414828,0,0,0.0,
1266,2024-07-30 00:00:00,2024-07-30 00:00:00,66819.05265758414,66819.05265758414,66048.10453122226,66531.58804767157,-0.004107377897385911,-0.004302135371264337,68124.82864703861,1092.8077916459213,1.4579330524056724,,0.0,,,,0.0,3588.94,13588.943254414828,0,0,0.0,
