reference_index,net_profit,num_of_trade,code,std_ratio_thres,sma_len,sma_dir,candle_dir,candle_len,cycle,sl,tp
3920,-1364.66,117,GN02_market_price_usd_ohlc_4h_ETH,2.0,10,above,positive,1,20,1,5
14704,-1367.03,60,GN04_market_price_usd_ohlc_4h_SUI,1.0,20,above,negative,2,15,2,7
3947,-1367.49,31,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,above,positive,1,20,2,5
12202,-1367.57,8,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,below,positive,1,15,2,5
10153,-1367.83,107,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,above,negative,1,15,1,3
10154,-1367.83,107,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,above,negative,1,20,1,3
18367,-1368.96,27,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,2,15,1,5
18368,-1368.96,27,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,2,20,1,5
6616,-1369.29,26,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,below,negative,2,15,2,7
6283,-1369.66,53,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,above,negative,1,15,1,10
2171,-1370.44,20,GN01_market_price_usd_ohlc_4h_BTC,1.0,15,above,negative,1,20,2,5
17727,-1370.6,82,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,1,10,2,7
10911,-1372.51,104,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,below,negative,2,10,2,7
15863,-1373.68,97,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,below,positive,1,20,2,10
2068,-1374.02,33,GN01_market_price_usd_ohlc_4h_BTC,2.5,10,below,negative,1,15,2,3
10594,-1374.57,14,GN03_market_price_usd_ohlc_4h_SOL,1.0,15,above,negative,2,15,2,5
8044,-1374.64,54,GN03_market_price_usd_ohlc_4h_SOL,2.5,15,above,positive,1,15,2,3
1339,-1375.65,11,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,above,positive,4,15,1,10
1333,-1375.65,11,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,above,positive,4,15,1,7
1327,-1375.65,11,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,above,positive,4,15,1,5
1542,-1375.76,13,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,above,positive,4,10,1,5
1548,-1375.76,13,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,above,positive,4,10,1,7
1554,-1375.76,13,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,above,positive,4,10,1,10
18149,-1378.08,11,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,above,negative,2,20,2,3
18148,-1378.08,11,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,above,negative,2,15,2,3
18147,-1378.08,11,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,above,negative,2,10,2,3
9942,-1378.81,79,GN03_market_price_usd_ohlc_4h_SOL,1.0,15,above,negative,1,10,1,5
11337,-1379.28,48,GN03_market_price_usd_ohlc_4h_SOL,2.0,15,below,negative,4,10,2,5
6622,-1380.63,26,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,below,negative,2,15,2,10
2711,-1381.33,61,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,below,negative,2,20,2,10
13441,-1381.35,51,GN04_market_price_usd_ohlc_4h_SUI,2.5,20,above,positive,4,15,1,3
13442,-1381.35,51,GN04_market_price_usd_ohlc_4h_SUI,2.5,20,above,positive,4,20,1,3
15415,-1383.59,99,GN04_market_price_usd_ohlc_4h_SUI,1.0,20,below,negative,4,15,1,5
1103,-1383.79,60,GN01_market_price_usd_ohlc_4h_BTC,1.0,20,above,positive,2,20,2,10
444,-1384.9,163,GN01_market_price_usd_ohlc_4h_BTC,1.0,20,above,positive,1,10,1,7
7786,-1385.04,254,GN03_market_price_usd_ohlc_4h_SOL,1.0,10,above,positive,1,15,2,5
2169,-1386.89,21,GN01_market_price_usd_ohlc_4h_BTC,1.0,15,above,negative,1,10,2,5
14814,-1388.07,65,GN04_market_price_usd_ohlc_4h_SUI,2.5,20,below,negative,2,10,1,5
6782,-1390.21,140,GN02_market_price_usd_ohlc_4h_ETH,1.0,15,below,negative,2,20,1,7
7053,-1391.14,49,GN02_market_price_usd_ohlc_4h_ETH,2.5,20,below,negative,2,10,2,10
